UTC,Open,High,Low,Close,Volume
03.01.2022 06:14:00.000 UTC,1825.148,1825.248,1824.938,1824.938,0.01258
03.01.2022 06:15:00.000 UTC,1824.878,1824.918,1824.668,1824.804,0.0106
03.01.2022 06:16:00.000 UTC,1824.778,1824.794,1824.448,1824.528,0.01846
03.01.2022 06:17:00.000 UTC,1824.544,1824.714,1824.528,1824.674,0.00482
03.01.2022 06:18:00.000 UTC,1824.674,1824.674,1824.334,1824.358,0.01372
03.01.2022 06:19:00.000 UTC,1824.374,1824.548,1824.358,1824.548,0.01046
03.01.2022 06:20:00.000 UTC,1824.518,1824.548,1824.448,1824.548,0.01036
03.01.2022 06:21:00.000 UTC,1824.568,1824.568,1824.448,1824.448,0.00814
03.01.2022 06:22:00.000 UTC,1824.448,1824.448,1824.268,1824.268,0.01147
03.01.2022 06:23:00.000 UTC,1824.268,1824.278,1824.168,1824.248,0.00964
03.01.2022 06:24:00.000 UTC,1824.328,1824.338,1824.248,1824.248,0.00851
03.01.2022 06:25:00.000 UTC,1824.178,1824.238,1823.778,1823.848,0.02634
03.01.2022 06:26:00.000 UTC,1823.788,1823.838,1823.588,1823.644,0.02932
03.01.2022 06:27:00.000 UTC,1823.664,1823.734,1823.578,1823.688,0.00641
03.01.2022 06:28:00.000 UTC,1823.668,1823.868,1823.668,1823.858,0.01591
03.01.2022 06:29:00.000 UTC,1823.788,1823.858,1823.788,1823.828,0.00792
03.01.2022 06:30:00.000 UTC,1823.838,1823.968,1823.578,1823.758,0.03235
03.01.2022 06:31:00.000 UTC,1823.758,1824.088,1823.748,1824.019,0.02793
03.01.2022 06:32:00.000 UTC,1823.989,1824.178,1823.964,1824.128,0.02098
03.01.2022 06:33:00.000 UTC,1824.138,1824.158,1823.978,1824.048,0.02324
03.01.2022 06:34:00.000 UTC,1824.038,1824.178,1823.968,1824.178,0.01354
03.01.2022 06:35:00.000 UTC,1824.178,1824.268,1824.154,1824.238,0.01067
03.01.2022 06:36:00.000 UTC,1824.248,1824.368,1824.218,1824.368,0.01339
03.01.2022 06:37:00.000 UTC,1824.348,1824.458,1824.348,1824.378,0.01887
03.01.2022 06:38:00.000 UTC,1824.428,1824.664,1824.378,1824.528,0.02017
03.01.2022 06:39:00.000 UTC,1824.518,1824.584,1824.184,1824.188,0.01491
03.01.2022 06:40:00.000 UTC,1824.184,1824.194,1824.028,1824.088,0.01267
03.01.2022 06:41:00.000 UTC,1824.078,1824.358,1824.058,1824.358,0.01712
03.01.2022 06:42:00.000 UTC,1824.328,1824.478,1824.278,1824.438,0.00777
03.01.2022 06:43:00.000 UTC,1824.418,1824.888,1824.398,1824.858,0.02488
03.01.2022 06:44:00.000 UTC,1824.854,1824.858,1824.628,1824.734,0.01817
03.01.2022 06:45:00.000 UTC,1824.688,1824.948,1824.688,1824.948,0.01555
03.01.2022 06:46:00.000 UTC,1824.908,1825.018,1824.908,1824.958,0.01295
03.01.2022 06:47:00.000 UTC,1824.968,1825.088,1824.958,1824.978,0.01295
03.01.2022 06:48:00.000 UTC,1825.018,1825.018,1824.838,1824.948,0.01554
03.01.2022 06:49:00.000 UTC,1824.948,1825.138,1824.948,1825.138,0.01895
03.01.2022 06:50:00.000 UTC,1825.148,1825.298,1825.108,1825.228,0.02649
03.01.2022 06:51:00.000 UTC,1825.198,1825.258,1825.168,1825.238,0.01658
03.01.2022 06:52:00.000 UTC,1825.218,1825.278,1825.138,1825.248,0.02089
03.01.2022 06:53:00.000 UTC,1825.268,1825.304,1825.225,1825.248,0.01099
03.01.2022 06:54:00.000 UTC,1825.258,1825.318,1825.128,1825.298,0.02091
03.01.2022 06:55:00.000 UTC,1825.298,1825.298,1824.848,1824.878,0.0178
03.01.2022 06:56:00.000 UTC,1824.878,1825.148,1824.878,1825.138,0.01656
03.01.2022 06:57:00.000 UTC,1825.138,1825.158,1825.118,1825.154,0.01117
03.01.2022 06:58:00.000 UTC,1825.114,1825.228,1825.058,1825.078,0.01794
03.01.2022 06:59:00.000 UTC,1825.098,1825.358,1825.088,1825.168,0.01808
03.01.2022 07:00:00.000 UTC,1825.248,1825.278,1824.488,1824.488,0.05706
03.01.2022 07:01:00.000 UTC,1824.518,1824.548,1823.948,1823.954,0.02505
03.01.2022 07:02:00.000 UTC,1823.914,1823.954,1823.418,1823.474,0.0369
03.01.2022 07:03:00.000 UTC,1823.444,1823.644,1823.348,1823.388,0.02944
03.01.2022 07:04:00.000 UTC,1823.398,1823.578,1823.158,1823.188,0.02446
03.01.2022 07:05:00.000 UTC,1823.188,1823.368,1822.858,1823.008,0.03645
03.01.2022 07:06:00.000 UTC,1822.998,1823.038,1822.398,1822.668,0.03484
03.01.2022 07:07:00.000 UTC,1822.668,1822.938,1822.618,1822.868,0.02323
03.01.2022 07:08:00.000 UTC,1822.868,1822.868,1822.454,1822.658,0.0283
03.01.2022 07:09:00.000 UTC,1822.658,1822.708,1822.088,1822.088,0.03011
03.01.2022 07:10:00.000 UTC,1822.098,1822.318,1821.845,1822.151,0.04198
03.01.2022 07:11:00.000 UTC,1822.148,1822.198,1821.638,1821.858,0.04047
03.01.2022 07:12:00.000 UTC,1821.848,1821.848,1820.908,1821.738,0.05695
03.01.2022 07:13:00.000 UTC,1821.718,1822.438,1821.594,1822.178,0.04668
03.01.2022 07:14:00.000 UTC,1822.168,1822.858,1822.168,1822.754,0.04027
03.01.2022 07:15:00.000 UTC,1822.758,1822.954,1822.418,1822.418,0.03352
03.01.2022 07:16:00.000 UTC,1822.418,1822.548,1821.838,1822.358,0.06031
03.01.2022 07:17:00.000 UTC,1822.408,1822.838,1822.148,1822.728,0.04433
03.01.2022 07:18:00.000 UTC,1822.658,1822.708,1822.124,1822.538,0.01801
03.01.2022 07:19:00.000 UTC,1822.638,1822.948,1822.488,1822.948,0.01052
03.01.2022 07:20:00.000 UTC,1822.948,1823.368,1822.918,1823.298,0.02951
03.01.2022 07:21:00.000 UTC,1823.268,1823.568,1823.188,1823.408,0.01806
03.01.2022 07:22:00.000 UTC,1823.408,1823.598,1823.338,1823.438,0.01313
03.01.2022 07:23:00.000 UTC,1823.438,1823.608,1823.348,1823.348,0.01394
03.01.2022 07:24:00.000 UTC,1823.348,1823.348,1822.868,1822.898,0.01511
03.01.2022 07:25:00.000 UTC,1822.938,1822.988,1822.338,1822.588,0.02109
03.01.2022 07:26:00.000 UTC,1822.528,1822.548,1822.328,1822.388,0.01505
03.01.2022 07:27:00.000 UTC,1822.388,1822.718,1822.348,1822.498,0.01092
03.01.2022 07:28:00.000 UTC,1822.508,1822.548,1822.258,1822.508,0.01011
03.01.2022 07:29:00.000 UTC,1822.478,1822.478,1822.258,1822.275,0.01351
03.01.2022 07:30:00.000 UTC,1822.275,1822.628,1822.255,1822.598,0.0343
03.01.2022 07:31:00.000 UTC,1822.588,1822.918,1822.588,1822.848,0.01435
03.01.2022 07:32:00.000 UTC,1822.848,1823.118,1822.848,1822.948,0.01292
03.01.2022 07:33:00.000 UTC,1822.948,1823.208,1822.948,1823.188,0.00807
03.01.2022 07:34:00.000 UTC,1823.168,1823.198,1822.888,1823.008,0.01424
03.01.2022 07:35:00.000 UTC,1823.018,1823.278,1822.998,1823.258,0.02111
03.01.2022 07:36:00.000 UTC,1823.258,1823.258,1823.108,1823.208,0.00814
03.01.2022 07:37:00.000 UTC,1823.188,1823.278,1822.848,1822.858,0.01636
03.01.2022 07:38:00.000 UTC,1822.848,1822.848,1822.648,1822.778,0.00788
03.01.2022 07:39:00.000 UTC,1822.778,1822.988,1822.718,1822.888,0.01234
03.01.2022 07:40:00.000 UTC,1822.918,1823.028,1822.788,1822.798,0.01027
03.01.2022 07:41:00.000 UTC,1822.788,1822.898,1822.778,1822.878,0.00602
03.01.2022 07:42:00.000 UTC,1822.848,1823.028,1822.848,1822.908,0.00572
03.01.2022 07:43:00.000 UTC,1822.888,1822.908,1822.568,1822.668,0.01167
03.01.2022 07:44:00.000 UTC,1822.738,1822.888,1822.478,1822.608,0.02161
03.01.2022 07:45:00.000 UTC,1822.608,1822.638,1822.508,1822.608,0.01125
03.01.2022 07:46:00.000 UTC,1822.638,1822.748,1822.595,1822.628,0.01406
03.01.2022 07:47:00.000 UTC,1822.628,1822.668,1822.518,1822.548,0.00801
03.01.2022 07:48:00.000 UTC,1822.594,1822.778,1822.528,1822.758,0.01154
03.01.2022 07:49:00.000 UTC,1822.758,1822.818,1822.698,1822.728,0.00932
03.01.2022 07:50:00.000 UTC,1822.708,1822.848,1822.348,1822.348,0.01202
03.01.2022 07:51:00.000 UTC,1822.378,1822.688,1822.268,1822.608,0.01416
03.01.2022 07:52:00.000 UTC,1822.598,1822.928,1822.588,1822.668,0.02054
03.01.2022 07:53:00.000 UTC,1822.688,1822.918,1822.578,1822.908,0.02598
03.01.2022 07:54:00.000 UTC,1822.908,1822.908,1822.548,1822.688,0.01955
03.01.2022 07:55:00.000 UTC,1822.708,1823.088,1822.658,1822.894,0.03337
03.01.2022 07:56:00.000 UTC,1822.854,1823.148,1822.718,1823.148,0.0281
03.01.2022 07:57:00.000 UTC,1823.148,1823.698,1823.128,1823.628,0.03249
03.01.2022 07:58:00.000 UTC,1823.628,1823.738,1823.368,1823.708,0.03878
03.01.2022 07:59:00.000 UTC,1823.718,1824.148,1823.578,1824.148,0.02481
03.01.2022 08:00:00.000 UTC,1824.138,1824.158,1823.318,1823.588,0.0411
03.01.2022 08:01:00.000 UTC,1823.588,1823.858,1823.518,1823.618,0.02616
03.01.2022 08:02:00.000 UTC,1823.618,1823.658,1823.388,1823.598,0.01864
03.01.2022 08:03:00.000 UTC,1823.588,1823.688,1823.448,1823.658,0.01504
03.01.2022 08:04:00.000 UTC,1823.638,1823.728,1823.569,1823.618,0.01337
03.01.2022 08:05:00.000 UTC,1823.618,1824.078,1823.608,1824.008,0.01667
03.01.2022 08:06:00.000 UTC,1824.118,1824.118,1823.918,1823.918,0.01078
03.01.2022 08:07:00.000 UTC,1823.918,1824.098,1823.808,1823.958,0.02106
03.01.2022 08:08:00.000 UTC,1823.898,1824.238,1823.858,1824.178,0.0164
03.01.2022 08:09:00.000 UTC,1824.158,1824.168,1823.539,1823.628,0.02194
03.01.2022 08:10:00.000 UTC,1823.668,1824.028,1823.608,1823.728,0.01366
03.01.2022 08:11:00.000 UTC,1823.658,1823.868,1823.468,1823.538,0.01503
03.01.2022 08:12:00.000 UTC,1823.498,1823.498,1822.638,1822.848,0.02429
03.01.2022 08:13:00.000 UTC,1822.838,1823.278,1822.708,1823.248,0.01774
03.01.2022 08:14:00.000 UTC,1823.208,1823.438,1823.078,1823.078,0.0194
03.01.2022 08:15:00.000 UTC,1823.068,1823.188,1822.948,1823.138,0.03626
03.01.2022 08:16:00.000 UTC,1823.134,1823.228,1822.848,1823.118,0.03202
